Geography,Type,ASP,Total Units Sold,Week,Year,Total Crop Inventory
Albany,Conventional,1.135643678,142311.2,1/23/2022,2022,60960294
Albany,Conventional,1.204902481,130741.9,1/16/2022,2022,56972754
Albany,Conventional,1.197224079,128466.26,1/9/2022,2022,55651097
Albany,Conventional,1.065195915,141578.52,1/2/2022,2021,44868865
Atlanta,Conventional,1.248753437,708279.32,1/23/2022,2022,60960294
Atlanta,Conventional,1.203556203,900523.56,1/16/2022,2022,56972754
Atlanta,Conventional,1.186341107,781699.94,1/9/2022,2022,55651097
Atlanta,Conventional,1.017629959,774665.32,1/2/2022,2021,44868865
Baltimore/Washington,Conventional,1.484066286,903286.43,1/23/2022,2022,60960294
Baltimore/Washington,Conventional,1.425475714,972309.74,1/16/2022,2022,56972754
Baltimore/Washington,Conventional,1.263998297,1039384.78,1/9/2022,2022,55651097
Baltimore/Washington,Conventional,1.294365832,877505.91,1/2/2022,2021,44868865
Birmingham/Montgomery,Conventional,1.183882223,309419.83,1/23/2022,2022,60960294
Birmingham/Montgomery,Conventional,1.165038993,331414.01,1/16/2022,2022,56972754
Birmingham/Montgomery,Conventional,1.122652604,318134.38,1/9/2022,2022,55651097
Birmingham/Montgomery,Conventional,0.980741832,323009.41,1/2/2022,2021,44868865
Boise,Conventional,1.333466702,119862.81,1/23/2022,2022,60960294
Boise,Conventional,1.44927669,113915.36,1/16/2022,2022,56972754
Boise,Conventional,1.327297129,115342.29,1/9/2022,2022,55651097
Boise,Conventional,1.143143949,126710.89,1/2/2022,2021,44868865
Boston,Conventional,1.510307807,632402.83,1/23/2022,2022,60960294
Boston,Conventional,1.363962559,714978.34,1/16/2022,2022,56972754
Boston,Conventional,1.542009814,640435.03,1/9/2022,2022,55651097
Boston,Conventional,1.343450604,576043.86,1/2/2022,2021,44868865
Buffalo/Rochester,Conventional,1.322058727,196382.5,1/23/2022,2022,60960294
Buffalo/Rochester,Conventional,1.421010791,196602.67,1/16/2022,2022,56972754
Buffalo/Rochester,Conventional,1.363746305,194397.29,1/9/2022,2022,55651097
Buffalo/Rochester,Conventional,1.255692456,185162.14,1/2/2022,2021,44868865
Charlotte,Conventional,1.483118703,312621.17,1/23/2022,2022,60960294
Charlotte,Conventional,1.350760971,354305.22,1/16/2022,2022,56972754
Charlotte,Conventional,1.215315552,368090.41,1/9/2022,2022,55651097
Charlotte,Conventional,1.131690713,396075.03,1/2/2022,2021,44868865
Chicago,Conventional,1.479813669,802067.45,1/23/2022,2022,60960294
Chicago,Conventional,1.436018277,813439.44,1/16/2022,2022,56972754
Chicago,Conventional,1.421930009,800338.38,1/9/2022,2022,55651097
Chicago,Conventional,1.029123232,1177381.67,1/2/2022,2021,44868865
Cincinnati/Dayton,Conventional,1.017518053,322467.5,1/23/2022,2022,60960294
Cincinnati/Dayton,Conventional,0.981073085,355946.71,1/16/2022,2022,56972754
Cincinnati/Dayton,Conventional,0.925662453,354676.45,1/9/2022,2022,55651097
Cincinnati/Dayton,Conventional,0.881990729,351248.53,1/2/2022,2021,44868865
Columbus,Conventional,1.069786496,260975.34,1/23/2022,2022,60960294
Columbus,Conventional,0.942886814,297423.18,1/16/2022,2022,56972754
Columbus,Conventional,0.938357214,283679.56,1/9/2022,2022,55651097
Columbus,Conventional,0.839014125,300928.41,1/2/2022,2021,44868865
Dallas/Ft. Worth,Conventional,1.016927689,1344295.05,1/23/2022,2022,60960294
Dallas/Ft. Worth,Conventional,0.990175132,1423860.5,1/16/2022,2022,56972754
Dallas/Ft. Worth,Conventional,0.928117851,1311807.29,1/9/2022,2022,55651097
Dallas/Ft. Worth,Conventional,0.762576452,1538466.7,1/2/2022,2021,44868865
Denver,Conventional,1.27577358,794000.51,1/23/2022,2022,60960294
Denver,Conventional,1.300648784,919181.8,1/16/2022,2022,56972754
Denver,Conventional,1.182646373,945844.97,1/9/2022,2022,55651097
Denver,Conventional,1.152568875,944611.67,1/2/2022,2021,44868865
Detroit,Conventional,1.097215594,467634.9,1/23/2022,2022,60960294
Detroit,Conventional,0.99432007,521046.7,1/16/2022,2022,56972754
Detroit,Conventional,0.929786298,542589.59,1/9/2022,2022,55651097
Detroit,Conventional,0.848969935,591436.41,1/2/2022,2021,44868865
Grand Rapids,Conventional,1.534456195,162407.52,1/23/2022,2022,60960294
Grand Rapids,Conventional,1.449276432,147358.07,1/16/2022,2022,56972754
Grand Rapids,Conventional,1.19859021,180172.71,1/9/2022,2022,55651097
Grand Rapids,Conventional,0.988966708,242702,1/2/2022,2021,44868865
Harrisburg/Scranton,Conventional,1.307190252,351074.5,1/23/2022,2022,60960294
Harrisburg/Scranton,Conventional,1.288470418,351818.14,1/16/2022,2022,56972754
Harrisburg/Scranton,Conventional,1.124856736,394787.62,1/9/2022,2022,55651097
Harrisburg/Scranton,Conventional,1.105691778,364891.29,1/2/2022,2021,44868865
Hartford/Springfield,Conventional,1.553028196,332753.06,1/23/2022,2022,60960294
Hartford/Springfield,Conventional,1.489763954,368074.94,1/16/2022,2022,56972754
Hartford/Springfield,Conventional,1.555353778,340954.74,1/9/2022,2022,55651097
Hartford/Springfield,Conventional,1.308227213,380218.83,1/2/2022,2021,44868865
Houston,Conventional,1.055041112,952162.43,1/23/2022,2022,60960294
Houston,Conventional,1.119275959,918499.49,1/16/2022,2022,56972754
Houston,Conventional,1.015848483,954447.74,1/9/2022,2022,55651097
Houston,Conventional,0.928214323,1014653.78,1/2/2022,2021,44868865
Indianapolis,Conventional,1.02851899,272551.02,1/23/2022,2022,60960294
Indianapolis,Conventional,0.981025186,289801.52,1/16/2022,2022,56972754
Indianapolis,Conventional,0.942045388,269929.29,1/9/2022,2022,55651097
Indianapolis,Conventional,0.868814295,305561.67,1/2/2022,2021,44868865
Jacksonville,Conventional,1.389624415,184730.73,1/23/2022,2022,60960294
Jacksonville,Conventional,1.373449879,191134.05,1/16/2022,2022,56972754
Jacksonville,Conventional,1.344782703,189095.79,1/9/2022,2022,55651097
Jacksonville,Conventional,1.072209946,207389.87,1/2/2022,2021,44868865
Las Vegas,Conventional,1.150880916,412854,1/23/2022,2022,60960294
Las Vegas,Conventional,1.213707821,388456.87,1/16/2022,2022,56972754
Las Vegas,Conventional,1.073453619,403424.86,1/9/2022,2022,55651097
Las Vegas,Conventional,1.006810121,400538.32,1/2/2022,2021,44868865
Los Angeles,Conventional,1.341762801,2985370.55,1/23/2022,2022,60960294
Los Angeles,Conventional,1.309849172,3010531.84,1/16/2022,2022,56972754
Los Angeles,Conventional,1.274812827,2919762.22,1/9/2022,2022,55651097
Los Angeles,Conventional,1.088141668,3144413.32,1/2/2022,2021,44868865
Louisville,Conventional,1.052373942,131659.21,1/23/2022,2022,60960294
Louisville,Conventional,0.996362883,152068.26,1/16/2022,2022,56972754
Louisville,Conventional,0.959261486,141680.6,1/9/2022,2022,55651097
Louisville,Conventional,0.888112094,151116.03,1/2/2022,2021,44868865
Miami/Ft. Lauderdale,Conventional,1.315354354,797906.54,1/23/2022,2022,60960294
Miami/Ft. Lauderdale,Conventional,1.299253994,856360.23,1/16/2022,2022,56972754
Miami/Ft. Lauderdale,Conventional,1.282728891,835488.22,1/9/2022,2022,55651097
Miami/Ft. Lauderdale,Conventional,1.104941392,870479.78,1/2/2022,2021,44868865
Nashville,Conventional,1.215863862,259411.85,1/23/2022,2022,60960294
Nashville,Conventional,1.178935132,339662.3,1/16/2022,2022,56972754
Nashville,Conventional,1.121477342,300772.96,1/9/2022,2022,55651097
Nashville,Conventional,0.989684943,306302.75,1/2/2022,2021,44868865
Northern New England,Conventional,1.189532476,513115.27,1/23/2022,2022,60960294
Northern New England,Conventional,1.191520176,537420.9,1/16/2022,2022,56972754
Northern New England,Conventional,1.286336156,477727.78,1/9/2022,2022,55651097
Northern New England,Conventional,1.052108751,599149.77,1/2/2022,2021,44868865
New Orleans/Mobile,Conventional,1.03851499,319937.95,1/23/2022,2022,60960294
New Orleans/Mobile,Conventional,1.020543668,309737.75,1/16/2022,2022,56972754
New Orleans/Mobile,Conventional,1.001115534,304059.87,1/9/2022,2022,55651097
New Orleans/Mobile,Conventional,0.898846741,295635.76,1/2/2022,2021,44868865
New York,Conventional,1.518256792,1757913.4,1/23/2022,2022,60960294
New York,Conventional,1.40605824,2133071.18,1/16/2022,2022,56972754
New York,Conventional,1.456478984,1772686.38,1/9/2022,2022,55651097
New York,Conventional,1.376763968,1834844.12,1/2/2022,2021,44868865
Orlando,Conventional,1.313345009,447749.61,1/23/2022,2022,60960294
Orlando,Conventional,1.344797005,461059.42,1/16/2022,2022,56972754
Orlando,Conventional,1.264178863,460652.06,1/9/2022,2022,55651097
Orlando,Conventional,1.095002092,487837.13,1/2/2022,2021,44868865
Peoria/Springfield,Conventional,1.076228079,125350.33,1/23/2022,2022,60960294
Peoria/Springfield,Conventional,1.032951906,134922.48,1/16/2022,2022,56972754
Peoria/Springfield,Conventional,0.974865618,126067.45,1/9/2022,2022,55651097
Peoria/Springfield,Conventional,0.868530172,143772.29,1/2/2022,2021,44868865
Philadelphia,Conventional,1.386651298,572564.47,1/23/2022,2022,60960294
Philadelphia,Conventional,1.326232977,616433.24,1/16/2022,2022,56972754
Philadelphia,Conventional,1.144158573,660799.96,1/9/2022,2022,55651097
Philadelphia,Conventional,1.194734027,545855.96,1/2/2022,2021,44868865
Phoenix/Tucson,Conventional,1.080984418,1232688.24,1/23/2022,2022,60960294
Phoenix/Tucson,Conventional,1.119328047,1171787.01,1/16/2022,2022,56972754
Phoenix/Tucson,Conventional,0.87838439,1309556.01,1/9/2022,2022,55651097
Phoenix/Tucson,Conventional,0.802877211,1338046.04,1/2/2022,2021,44868865
Pittsburgh,Conventional,1.347301247,116781.48,1/23/2022,2022,60960294
Pittsburgh,Conventional,1.083274932,178839.62,1/16/2022,2022,56972754
Pittsburgh,Conventional,1.315133296,123945.93,1/9/2022,2022,55651097
Pittsburgh,Conventional,1.047244016,150324.02,1/2/2022,2021,44868865
Portland,Conventional,1.372500137,667739.89,1/23/2022,2022,60960294
Portland,Conventional,1.42208113,690743.3,1/16/2022,2022,56972754
Portland,Conventional,1.313207208,641954.12,1/9/2022,2022,55651097
Portland,Conventional,0.956078832,777367.6,1/2/2022,2021,44868865
Providence,Conventional,1.649750872,84389.07,1/23/2022,2022,60960294
Providence,Conventional,1.397003649,97310.99,1/16/2022,2022,56972754
Providence,Conventional,1.571374758,91797.23,1/9/2022,2022,55651097
Providence,Conventional,1.412122437,73520.42,1/2/2022,2021,44868865
Raleigh/Greensboro,Conventional,1.373021619,384853.56,1/23/2022,2022,60960294
Raleigh/Greensboro,Conventional,1.255091867,444167.1,1/16/2022,2022,56972754
Raleigh/Greensboro,Conventional,1.114061895,449207.16,1/9/2022,2022,55651097
Raleigh/Greensboro,Conventional,1.109004824,462737.65,1/2/2022,2021,44868865
Richmond/Norfolk,Conventional,1.212772132,313465.95,1/23/2022,2022,60960294
Richmond/Norfolk,Conventional,1.129739545,362580.56,1/16/2022,2022,56972754
Richmond/Norfolk,Conventional,1.014208393,364831.73,1/9/2022,2022,55651097
Richmond/Norfolk,Conventional,1.002756266,346951.56,1/2/2022,2021,44868865
Roanoke,Conventional,1.122726021,163635.4,1/23/2022,2022,60960294
Roanoke,Conventional,1.04086469,240312.31,1/16/2022,2022,56972754
Roanoke,Conventional,0.961949164,214695.64,1/9/2022,2022,55651097
Roanoke,Conventional,0.968524022,197996.68,1/2/2022,2021,44868865
Sacramento,Conventional,1.604913379,433114.24,1/23/2022,2022,60960294
Sacramento,Conventional,1.662161639,429519.08,1/16/2022,2022,56972754
Sacramento,Conventional,1.339421241,466374.13,1/9/2022,2022,55651097
Sacramento,Conventional,1.43493795,466759.5,1/2/2022,2021,44868865
San Diego,Conventional,1.30383826,569927.5,1/23/2022,2022,60960294
San Diego,Conventional,1.344136617,548383.46,1/16/2022,2022,56972754
San Diego,Conventional,1.289827477,555544.15,1/9/2022,2022,55651097
San Diego,Conventional,1.062662456,591354.2,1/2/2022,2021,44868865
San Francisco,Conventional,1.691315913,722953.56,1/23/2022,2022,60960294
San Francisco,Conventional,1.650785203,698233.15,1/16/2022,2022,56972754
San Francisco,Conventional,1.238332454,899723.14,1/9/2022,2022,55651097
San Francisco,Conventional,1.500227421,811334.79,1/2/2022,2021,44868865
Seattle,Conventional,1.385705113,638525.06,1/23/2022,2022,60960294
Seattle,Conventional,1.627810131,532819.06,1/16/2022,2022,56972754
Seattle,Conventional,1.4312897,628269.54,1/9/2022,2022,55651097
Seattle,Conventional,1.399775104,583689.42,1/2/2022,2021,44868865
South Carolina,Conventional,1.339127471,479890.4,1/23/2022,2022,60960294
South Carolina,Conventional,1.301822648,493089.03,1/16/2022,2022,56972754
South Carolina,Conventional,1.178574468,520062.05,1/9/2022,2022,55651097
South Carolina,Conventional,1.112267632,526221.89,1/2/2022,2021,44868865
Spokane,Conventional,1.227998423,90162.42,1/23/2022,2022,60960294
Spokane,Conventional,1.439749471,75544.79,1/16/2022,2022,56972754
Spokane,Conventional,1.256453829,87547.83,1/9/2022,2022,55651097
Spokane,Conventional,1.238128461,82677.16,1/2/2022,2021,44868865
St. Louis,Conventional,1.213681484,184052.26,1/23/2022,2022,60960294
St. Louis,Conventional,1.181132263,200581.43,1/16/2022,2022,56972754
St. Louis,Conventional,1.090940981,197327.2,1/9/2022,2022,55651097
St. Louis,Conventional,0.920468333,231544.73,1/2/2022,2021,44868865
Syracuse,Conventional,1.264228999,92774.51,1/23/2022,2022,60960294
Syracuse,Conventional,1.338312684,85000.24,1/16/2022,2022,56972754
Syracuse,Conventional,1.31784069,85636.44,1/9/2022,2022,55651097
Syracuse,Conventional,1.186433009,86110.74,1/2/2022,2021,44868865
Tampa,Conventional,1.216690007,515298.53,1/23/2022,2022,60960294
Tampa,Conventional,1.250774789,507980.01,1/16/2022,2022,56972754
Tampa,Conventional,1.193863666,515393.92,1/9/2022,2022,55651097
Tampa,Conventional,1.093909541,555578.44,1/2/2022,2021,44868865
Toledo,Conventional,1.050104396,141250.35,1/23/2022,2022,60960294
Toledo,Conventional,0.953861083,152302.89,1/16/2022,2022,56972754
Toledo,Conventional,0.876108618,157567.74,1/9/2022,2022,55651097
Toledo,Conventional,0.83408857,171814.43,1/2/2022,2021,44868865
West Tex/New Mexico,Conventional,1.090355504,896546.53,1/23/2022,2022,60960294
West Tex/New Mexico,Conventional,1.099817422,898519.62,1/16/2022,2022,56972754
West Tex/New Mexico,Conventional,1.017704292,815673.47,1/9/2022,2022,55651097
West Tex/New Mexico,Conventional,0.912305922,884339.9,1/2/2022,2021,44868865
Wichita,Conventional,1.04021857,104117.09,1/23/2022,2022,60960294
Wichita,Conventional,1.130275391,96440.3,1/16/2022,2022,56972754
Wichita,Conventional,1.063400443,91122.49,1/9/2022,2022,55651097
Wichita,Conventional,1.021537386,89212.01,1/2/2022,2021,44868865
California,Conventional,1.426292325,5934897.87,1/23/2022,2022,60960294
California,Conventional,1.412093977,5909254.16,1/16/2022,2022,56972754
California,Conventional,1.27570071,6168021.13,1/9/2022,2022,55651097
California,Conventional,1.204160742,6309795.37,1/2/2022,2021,44868865
Great Lakes,Conventional,1.205796938,3972117.03,1/23/2022,2022,60960294
Great Lakes,Conventional,1.133069484,4222604.01,1/16/2022,2022,56972754
Great Lakes,Conventional,1.079471904,4211116.2,1/9/2022,2022,55651097
Great Lakes,Conventional,0.940627899,4903981.56,1/2/2022,2021,44868865
Midsouth,Conventional,1.303678822,3634375.94,1/23/2022,2022,60960294
Midsouth,Conventional,1.224143835,4242944.8,1/16/2022,2022,56972754
Midsouth,Conventional,1.108097461,4263565.8,1/9/2022,2022,55651097
Midsouth,Conventional,1.096527159,4040403.36,1/2/2022,2021,44868865
Northeast,Conventional,1.41942692,5224821.87,1/23/2022,2022,60960294
Northeast,Conventional,1.348573984,5893124.13,1/16/2022,2022,56972754
Northeast,Conventional,1.372697887,5333437.47,1/9/2022,2022,55651097
Northeast,Conventional,1.256217667,5397153.96,1/2/2022,2021,44868865
Plains,Conventional,1.284293231,1810913.41,1/23/2022,2022,60960294
Plains,Conventional,1.264119091,1886878.31,1/16/2022,2022,56972754
Plains,Conventional,1.213142197,1726734.37,1/9/2022,2022,55651097
Plains,Conventional,1.018229638,1950985.34,1/2/2022,2021,44868865
South Central,Conventional,1.07483289,4886704.65,1/23/2022,2022,60960294
South Central,Conventional,1.06718596,5092528.08,1/16/2022,2022,56972754
South Central,Conventional,0.996252109,4795388.56,1/9/2022,2022,55651097
South Central,Conventional,0.859506893,5306150.57,1/2/2022,2021,44868865
Southeast,Conventional,1.266365524,4652113.04,1/23/2022,2022,60960294
Southeast,Conventional,1.254142283,5039884.41,1/16/2022,2022,56972754
Southeast,Conventional,1.206295262,4872135.04,1/9/2022,2022,55651097
Southeast,Conventional,1.064581655,5028583.23,1/2/2022,2021,44868865
West,Conventional,1.216607247,6792907.22,1/23/2022,2022,60960294
West,Conventional,1.287942031,6607770.93,1/16/2022,2022,56972754
West,Conventional,1.133430678,6886368.02,1/9/2022,2022,55651097
West,Conventional,1.026909176,7036005.57,1/2/2022,2021,44868865
Total U.S.,Conventional,1.277267829,36908851.02,1/23/2022,2022,60960294
Total U.S.,Conventional,1.257778635,38894988.83,1/16/2022,2022,56972754
Total U.S.,Conventional,1.176644652,38256766.59,1/9/2022,2022,55651097
Total U.S.,Conventional,1.064395452,39973058.96,1/2/2022,2021,44868865
Albany,Organic,1.698888093,3155.63,1/23/2022,2022,60960294
Albany,Organic,1.690633688,3938.88,1/16/2022,2022,56972754
Albany,Organic,1.720818247,4070.15,1/9/2022,2022,55651097
Albany,Organic,1.771012237,3149.31,1/2/2022,2021,44868865
Atlanta,Organic,1.702790466,23522.47,1/23/2022,2022,60960294
Atlanta,Organic,1.675818673,34072.51,1/16/2022,2022,56972754
Atlanta,Organic,1.793453655,30087.93,1/9/2022,2022,55651097
Atlanta,Organic,1.835274862,27971.19,1/2/2022,2021,44868865
Baltimore/Washington,Organic,1.7826127,51900.06,1/23/2022,2022,60960294
Baltimore/Washington,Organic,1.691309235,61574.46,1/16/2022,2022,56972754
Baltimore/Washington,Organic,1.754326356,62635,1/9/2022,2022,55651097
Baltimore/Washington,Organic,1.758396649,49499.83,1/2/2022,2021,44868865
Birmingham/Montgomery,Organic,1.44406609,10303.18,1/23/2022,2022,60960294
Birmingham/Montgomery,Organic,1.527862621,12969.5,1/16/2022,2022,56972754
Birmingham/Montgomery,Organic,1.508322752,13034.01,1/9/2022,2022,55651097
Birmingham/Montgomery,Organic,1.535239839,11927.39,1/2/2022,2021,44868865
Boise,Organic,1.815434328,8283.92,1/23/2022,2022,60960294
Boise,Organic,2.315289627,5775.53,1/16/2022,2022,56972754
Boise,Organic,1.987093023,7310.39,1/9/2022,2022,55651097
Boise,Organic,2.10697391,7251.71,1/2/2022,2021,44868865
Boston,Organic,1.810775062,37040.3,1/23/2022,2022,60960294
Boston,Organic,1.831626566,33333.16,1/16/2022,2022,56972754
Boston,Organic,1.829078057,37018.87,1/9/2022,2022,55651097
Boston,Organic,1.810751874,26666.85,1/2/2022,2021,44868865
Buffalo/Rochester,Organic,1.598427287,10670,1/23/2022,2022,60960294
Buffalo/Rochester,Organic,1.704389497,12651.95,1/16/2022,2022,56972754
Buffalo/Rochester,Organic,1.669187303,15679.33,1/9/2022,2022,55651097
Buffalo/Rochester,Organic,1.70004225,11298.54,1/2/2022,2021,44868865
Charlotte,Organic,1.662365727,19450.69,1/23/2022,2022,60960294
Charlotte,Organic,1.738038421,17493.45,1/16/2022,2022,56972754
Charlotte,Organic,1.479966694,25297.39,1/9/2022,2022,55651097
Charlotte,Organic,1.70970072,21453.61,1/2/2022,2021,44868865
Chicago,Organic,1.618544744,57135.75,1/23/2022,2022,60960294
Chicago,Organic,1.608888981,50525.16,1/16/2022,2022,56972754
Chicago,Organic,1.685805996,41366.75,1/9/2022,2022,55651097
Chicago,Organic,1.682413747,40505.42,1/2/2022,2021,44868865
Cincinnati/Dayton,Organic,1.95844442,13887.9,1/23/2022,2022,60960294
Cincinnati/Dayton,Organic,1.861906951,14986.4,1/16/2022,2022,56972754
Cincinnati/Dayton,Organic,1.950763557,13736.62,1/9/2022,2022,55651097
Cincinnati/Dayton,Organic,1.83371718,14180.69,1/2/2022,2021,44868865
Columbus,Organic,1.778144711,9023.01,1/23/2022,2022,60960294
Columbus,Organic,1.646888999,8978.73,1/16/2022,2022,56972754
Columbus,Organic,1.728216139,7932.52,1/9/2022,2022,55651097
Columbus,Organic,1.742868332,8319.14,1/2/2022,2021,44868865
Dallas/Ft. Worth,Organic,1.505397042,42494.33,1/23/2022,2022,60960294
Dallas/Ft. Worth,Organic,1.504182121,46694.38,1/16/2022,2022,56972754
Dallas/Ft. Worth,Organic,1.482099513,47610.23,1/9/2022,2022,55651097
Dallas/Ft. Worth,Organic,1.482326789,46152.35,1/2/2022,2021,44868865
Denver,Organic,1.558311861,60355.17,1/23/2022,2022,60960294
Denver,Organic,1.730471787,43335.79,1/16/2022,2022,56972754
Denver,Organic,1.62094863,90360.19,1/9/2022,2022,55651097
Denver,Organic,1.617796294,90680.51,1/2/2022,2021,44868865
Detroit,Organic,1.450662107,21869.06,1/23/2022,2022,60960294
Detroit,Organic,1.27463102,22812.19,1/16/2022,2022,56972754
Detroit,Organic,1.384197993,20198.65,1/9/2022,2022,55651097
Detroit,Organic,1.389174301,18847.22,1/2/2022,2021,44868865
Grand Rapids,Organic,1.204220741,10994.44,1/23/2022,2022,60960294
Grand Rapids,Organic,0.968487146,18571.06,1/16/2022,2022,56972754
Grand Rapids,Organic,1.162504998,10447.3,1/9/2022,2022,55651097
Grand Rapids,Organic,1.284794833,7668.19,1/2/2022,2021,44868865
Harrisburg/Scranton,Organic,1.565728332,17573.37,1/23/2022,2022,60960294
Harrisburg/Scranton,Organic,1.619458951,22059.61,1/16/2022,2022,56972754
Harrisburg/Scranton,Organic,1.573505266,22084.05,1/9/2022,2022,55651097
Harrisburg/Scranton,Organic,1.562792712,16219.09,1/2/2022,2021,44868865
Hartford/Springfield,Organic,1.866695136,20135.72,1/23/2022,2022,60960294
Hartford/Springfield,Organic,1.872771965,19507.36,1/16/2022,2022,56972754
Hartford/Springfield,Organic,1.833275419,24156.27,1/9/2022,2022,55651097
Hartford/Springfield,Organic,1.947423802,14783.03,1/2/2022,2021,44868865
Houston,Organic,1.740438203,13984.37,1/23/2022,2022,60960294
Houston,Organic,2.095803953,11931.48,1/16/2022,2022,56972754
Houston,Organic,1.782653267,14217.77,1/9/2022,2022,55651097
Houston,Organic,1.721183056,14056.99,1/2/2022,2021,44868865
Indianapolis,Organic,1.651808848,8722.92,1/23/2022,2022,60960294
Indianapolis,Organic,1.513367246,9855.15,1/16/2022,2022,56972754
Indianapolis,Organic,1.604007507,8681.61,1/9/2022,2022,55651097
Indianapolis,Organic,1.612303748,8751.32,1/2/2022,2021,44868865
Jacksonville,Organic,1.025414429,28633.88,1/23/2022,2022,60960294
Jacksonville,Organic,1.132732003,19008.29,1/16/2022,2022,56972754
Jacksonville,Organic,1.028262744,28087.88,1/9/2022,2022,55651097
Jacksonville,Organic,1.071925327,26792.96,1/2/2022,2021,44868865
Las Vegas,Organic,1.488704458,16113.42,1/23/2022,2022,60960294
Las Vegas,Organic,1.65336689,13138.33,1/16/2022,2022,56972754
Las Vegas,Organic,1.560452544,13662.33,1/9/2022,2022,55651097
Las Vegas,Organic,1.677353045,11664.68,1/2/2022,2021,44868865
Los Angeles,Organic,1.871081037,138845.37,1/23/2022,2022,60960294
Los Angeles,Organic,1.789230042,179197.63,1/16/2022,2022,56972754
Los Angeles,Organic,1.900316255,108697.69,1/9/2022,2022,55651097
Los Angeles,Organic,1.803252556,131215.91,1/2/2022,2021,44868865
Louisville,Organic,1.628660141,5912.43,1/23/2022,2022,60960294
Louisville,Organic,1.532791759,6415.04,1/16/2022,2022,56972754
Louisville,Organic,1.579712462,6647.52,1/9/2022,2022,55651097
Louisville,Organic,1.796677487,4908.66,1/2/2022,2021,44868865
Miami/Ft. Lauderdale,Organic,1.02780264,115457.75,1/23/2022,2022,60960294
Miami/Ft. Lauderdale,Organic,0.99448347,127395.79,1/16/2022,2022,56972754
Miami/Ft. Lauderdale,Organic,0.989208228,131137.01,1/9/2022,2022,55651097
Miami/Ft. Lauderdale,Organic,1.038777773,123291.16,1/2/2022,2021,44868865
Nashville,Organic,1.59495571,12651.67,1/23/2022,2022,60960294
Nashville,Organic,1.556961361,18918.69,1/16/2022,2022,56972754
Nashville,Organic,1.535412614,17541.29,1/9/2022,2022,55651097
Nashville,Organic,1.679726587,15845.12,1/2/2022,2021,44868865
Northern New England,Organic,1.956232138,15799.07,1/23/2022,2022,60960294
Northern New England,Organic,1.957572646,15907.85,1/16/2022,2022,56972754
Northern New England,Organic,1.980351373,17324.5,1/9/2022,2022,55651097
Northern New England,Organic,1.969356857,14360.86,1/2/2022,2021,44868865
New Orleans/Mobile,Organic,1.237506151,14310.46,1/23/2022,2022,60960294
New Orleans/Mobile,Organic,1.24512267,14652.25,1/16/2022,2022,56972754
New Orleans/Mobile,Organic,1.244575711,16806.69,1/9/2022,2022,55651097
New Orleans/Mobile,Organic,1.243250522,14332.33,1/2/2022,2021,44868865
New York,Organic,1.756739121,120439.34,1/23/2022,2022,60960294
New York,Organic,1.763486965,119147.02,1/16/2022,2022,56972754
New York,Organic,1.632055947,150858.14,1/9/2022,2022,55651097
New York,Organic,1.803816134,86642.12,1/2/2022,2021,44868865
Orlando,Organic,1.032672572,98708.66,1/23/2022,2022,60960294
Orlando,Organic,0.984861212,93065.37,1/16/2022,2022,56972754
Orlando,Organic,0.932677464,97298.82,1/9/2022,2022,55651097
Orlando,Organic,0.934873403,86329.76,1/2/2022,2021,44868865
Peoria/Springfield,Organic,1.49925378,4549.49,1/23/2022,2022,60960294
Peoria/Springfield,Organic,1.427632427,4342.48,1/16/2022,2022,56972754
Peoria/Springfield,Organic,1.560806446,3468,1/9/2022,2022,55651097
Peoria/Springfield,Organic,1.64722273,3436.93,1/2/2022,2021,44868865
Philadelphia,Organic,1.668442244,31660.27,1/23/2022,2022,60960294
Philadelphia,Organic,1.730367676,33258.9,1/16/2022,2022,56972754
Philadelphia,Organic,1.631027353,37387.35,1/9/2022,2022,55651097
Philadelphia,Organic,1.724112739,23026.82,1/2/2022,2021,44868865
Phoenix/Tucson,Organic,1.440380113,34134.79,1/23/2022,2022,60960294
Phoenix/Tucson,Organic,1.490334141,32409.25,1/16/2022,2022,56972754
Phoenix/Tucson,Organic,1.508273923,30697.08,1/9/2022,2022,55651097
Phoenix/Tucson,Organic,1.539602702,27172.95,1/2/2022,2021,44868865
Pittsburgh,Organic,1.538314276,8223.27,1/23/2022,2022,60960294
Pittsburgh,Organic,1.473300251,8744.74,1/16/2022,2022,56972754
Pittsburgh,Organic,1.548204702,8441.68,1/9/2022,2022,55651097
Pittsburgh,Organic,1.475654158,7846.03,1/2/2022,2021,44868865
Portland,Organic,2.242547867,34720.26,1/23/2022,2022,60960294
Portland,Organic,2.662019663,33771.19,1/16/2022,2022,56972754
Portland,Organic,2.036839319,39434.54,1/9/2022,2022,55651097
Portland,Organic,2.107416078,35632.74,1/2/2022,2021,44868865
Providence,Organic,1.778449157,4867.23,1/23/2022,2022,60960294
Providence,Organic,1.785518047,4145.7,1/16/2022,2022,56972754
Providence,Organic,1.799968687,4923.44,1/9/2022,2022,55651097
Providence,Organic,1.786591143,3036.33,1/2/2022,2021,44868865
Raleigh/Greensboro,Organic,1.615843156,28721.08,1/23/2022,2022,60960294
Raleigh/Greensboro,Organic,1.664522728,22284.5,1/16/2022,2022,56972754
Raleigh/Greensboro,Organic,1.421104388,32690.58,1/9/2022,2022,55651097
